Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Shinjuku Ward,7.0,200000000,1K,75,Rectangular Shaped,6.4,1977.0,RC,Shop,West,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,100000000,1K,65,Semi-rectangular Shaped,5.0,1967.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,66000000,1K,40,Semi-rectangular Shaped,5.0,1967.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,2900000000,1K,590,Rectangular Shaped,30.0,1978.0,SRC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,540000000,1K,230,Irregular Shaped,5.5,2008.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,65,Semi-rectangular Shaped,5.3,1988.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,220000000,1K,240,Semi-trapezoidal Shaped,8.0,1962.0,RC,Shop,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,500000000,1K,90,Square Shaped,9.5,2004.0,S,Office,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,100000000,1K,55,Semi-rectangular Shaped,5.0,1968.0,S,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,610000000,1K,170,Semi-rectangular Shaped,8.5,1964.0,RC,Other,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,12.0,190000000,1K,65,Rectangular Shaped,5.2,1993.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,2900000000,1K,240,Semi-square Shaped,15.0,1959.0,RC,Shop,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,75000000,1K,50,Rectangular Shaped,4.4,1976.0,RC,Shop,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,68000000,1K,105,Semi-shaped,9.6,1972.0,RC,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,130000000,1K,50,Rectangular Shaped,6.6,1967.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,450000000,1K,220,Semi-rectangular Shaped,11.0,1980.0,RC,Shop,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,200000000,1K,145,Semi-rectangular Shaped,11.0,1976.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,200000000,1K,90,Semi-rectangular Shaped,6.7,1951.0,RC,Shop,South,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,730000000,1K,420,Irregular Shaped,20.0,1984.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,75000000,1K,80,Semi-rectangular Shaped,7.0,1960.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,1200000000,1K,460,Rectangular Shaped,32.0,1990.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,140000000,1K,125,Semi-rectangular Shaped,9.0,1967.0,RC,Other,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,11.0,410000000,1K,290,Semi-rectangular Shaped,8.0,1974.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,350000000,1K,310,Rectangular Shaped,15.5,1973.0,RC,Other,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,1400000000,1K,280,Semi-rectangular Shaped,10.5,1970.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,930000000,1K,280,Rectangular Shaped,10.0,1970.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,13.0,120000000,1K,70,Semi-rectangular Shaped,8.0,1962.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,500000000,1K,340,Rectangular Shaped,13.2,1969.0,RC,Other,West,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,3100000,1K,150,Rectangular Shaped,8.5,1992.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,5300000000,1K,1200,Semi-rectangular Shaped,25.6,1964.0,RC,Other,North,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,220000000,1K,115,Semi-rectangular Shaped,9.0,1988.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,770000000,1K,290,Semi-rectangular Shaped,15.0,1974.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,210000000,1K,165,Semi-shaped,11.5,2019.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,21000000,1K,35,Semi-rectangular Shaped,4.5,1964.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,26000000,1K,50,Semi-shaped,6.3,1977.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,65000000,1K,60,Semi-rectangular Shaped,5.0,2018.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,340000000,1K,620,Semi-rectangular Shaped,28.3,1967.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,62000000,1K,60,Rectangular Shaped,5.4,2017.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,110000000,1K,105,Rectangular Shaped,7.9,1989.0,S,Housing Complex,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,460000000,1K,230,Rectangular Shaped,13.0,1991.0,RC,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,310000000,1K,180,Semi-rectangular Shaped,10.5,1989.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,370000000,1K,105,Semi-rectangular Shaped,5.0,1965.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,560000000,1K,210,Irregular Shaped,9.5,2009.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,74000000,1K,260,Irregular Shaped,14.0,1989.0,W,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,35000000,1K,100,Semi-trapezoidal Shaped,10.0,1960.0,W,House,No facing road,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,60000000,1K,35,Semi-rectangular Shaped,5.0,1984.0,S,Other,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,600000000,1K,410,Irregular Shaped,13.5,1999.0,SRC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,44000000,1K,50,Semi-rectangular Shaped,5.3,2001.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,65000000,1K,85,Rectangular Shaped,5.2,2015.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,47000000,1K,45,Semi-rectangular Shaped,4.9,2014.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,57000000,1K,60,Semi-rectangular Shaped,3.9,2015.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,55000000,1K,65,Semi-rectangular Shaped,4.5,2015.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,50000000,1K,65,Irregular Shaped,2.4,2015.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,52000000,1K,50,Semi-trapezoidal Shaped,4.5,2015.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,37000000,1K,50,Semi-rectangular Shaped,5.0,2001.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,53000000,1K,60,Rectangular Shaped,6.7,1965.0,W,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,17000000,1K,30,Rectangular Shaped,3.8,1972.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,62000000,1K,60,Rectangular Shaped,6.3,2014.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,48000000,1K,50,Semi-trapezoidal Shaped,6.5,1999.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,32000000,1K,55,Rectangular Shaped,5.5,1971.0,W,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,49000000,1K,60,Semi-rectangular Shaped,6.3,2014.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,50000000,1K,60,Semi-rectangular Shaped,6.0,2014.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,120000000,1K,110,Semi-trapezoidal Shaped,8.2,1975.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,62000000,1K,60,Semi-rectangular Shaped,6.5,2014.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,33000000,1K,60,Semi-rectangular Shaped,7.0,1968.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,29000000,1K,45,Semi-rectangular Shaped,4.0,1967.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,46000000,1K,100,Semi-rectangular Shaped,8.0,1994.0,W,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,240000000,1K,200,Irregular Shaped,12.0,1995.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,58000000,1K,60,Semi-rectangular Shaped,4.7,2014.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,57000000,1K,60,Semi-rectangular Shaped,4.6,2014.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,77000000,1K,95,Semi-rectangular Shaped,7.0,1991.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,18000000,1K,35,Semi-rectangular Shaped,7.1,1997.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,130000000,1K,185,Trapezoidal Shaped,13.3,1980.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,44000000,1K,45,Semi-rectangular Shaped,5.2,2018.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,38000000,1K,45,Semi-shaped,6.1,1970.0,W,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,50000000,1K,85,Semi-rectangular Shaped,10.8,1971.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,57000000,1K,55,Semi-rectangular Shaped,5.0,2019.0,W,House,West,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,62000000,1K,75,Rectangular Shaped,4.0,1951.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,45000000,1K,65,Rectangular Shaped,6.3,1988.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,54000000,1K,60,Trapezoidal Shaped,11.6,1956.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,78000000,1K,105,Semi-rectangular Shaped,8.0,1979.0,RC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,110000000,1K,110,Semi-square Shaped,10.4,1993.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,38000000,1K,60,Rectangular Shaped,5.1,2002.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,29000000,1K,45,Rectangular Shaped,5.6,1983.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,49000000,1K,90,Semi-rectangular Shaped,6.3,1993.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,53000000,1K,55,Semi-rectangular Shaped,10.0,2004.0,W,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,170000000,1K,100,Semi-rectangular Shaped,7.0,1989.0,S,Housing Complex,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,4400000000,1K,1800,Irregular Shaped,32.0,1973.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,520000000,1K,260,Semi-trapezoidal Shaped,20.0,1983.0,RC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,60000000,1K,110,Semi-rectangular Shaped,9.4,1971.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,42000000,1K,55,Rectangular Shaped,4.3,1996.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,31000000,1K,120,Semi-trapezoidal Shaped,8.0,1977.0,W,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,48000000,1K,55,Semi-trapezoidal Shaped,6.2,2014.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,11000000,1K,35,Semi-square Shaped,5.7,1978.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,61000000,1K,70,Semi-rectangular Shaped,5.5,2014.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,53000000,1K,50,Rectangular Shaped,4.7,2003.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,400000000,1K,380,Semi-rectangular Shaped,12.0,1989.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,88000000,1K,75,Rectangular Shaped,5.0,1967.0,RC,Shop,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,77000000,1K,85,Semi-rectangular Shaped,7.0,2014.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,110000000,1K,180,Semi-rectangular Shaped,9.0,1980.0,S,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,48000000,1K,55,Semi-rectangular Shaped,5.8,1991.0,S,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,150000000,1K,230,Semi-rectangular Shaped,10.0,1979.0,LS,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,110000000,1K,120,Semi-trapezoidal Shaped,9.0,1968.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,220000000,1K,135,Semi-rectangular Shaped,6.0,1985.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,85000000,1K,65,Semi-rectangular Shaped,5.5,2016.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,800000000,1K,420,Semi-rectangular Shaped,44.0,1991.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,130000000,1K,155,Semi-rectangular Shaped,8.5,1998.0,LS,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,70000000,1K,200,Semi-rectangular Shaped,15.0,1963.0,W,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,170000000,1K,110,Rectangular Shaped,6.0,1968.0,S,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,70000000,1K,50,Semi-rectangular Shaped,7.4,2018.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,110000000,1K,105,Semi-rectangular Shaped,7.8,1980.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,80000000,1K,90,Semi-square Shaped,9.5,1961.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,120000000,1K,145,Semi-rectangular Shaped,10.0,2005.0,LS,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,90000000,1K,220,Semi-square Shaped,14.0,1992.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,50000000,1K,75,Semi-square Shaped,8.0,2013.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,48000000,1K,40,Semi-rectangular Shaped,4.0,2014.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,470000000,1K,370,Irregular Shaped,12.0,1970.0,SRC,Shop,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,800000000,1K,270,Semi-shaped,15.0,1990.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,200000000,1K,145,Irregular Shaped,9.0,1978.0,RC,Shop,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,84000000,1K,115,Square Shaped,10.3,1988.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,60000000,1K,90,Semi-rectangular Shaped,6.0,1991.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,170000000,1K,230,Semi-trapezoidal Shaped,12.4,1984.0,LS,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,24000000,1K,45,Semi-trapezoidal Shaped,4.1,1986.0,W,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,180000000,1K,145,Semi-rectangular Shaped,8.9,2017.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,64000000,1K,60,Rectangular Shaped,5.1,1988.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,2400000000,1K,420,Semi-rectangular Shaped,18.9,2014.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,70000000,1K,105,Rectangular Shaped,8.0,1961.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,100000000,1K,105,Square Shaped,10.0,1962.0,RC,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,200000000,1K,175,Irregular Shaped,10.0,1995.0,S,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,97000000,1K,90,Rectangular Shaped,8.0,1978.0,S,Warehouse,North,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,76000000,1K,85,Rectangular Shaped,8.0,1999.0,S,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,120000000,1K,145,Semi-rectangular Shaped,8.5,1980.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,63000000,1K,65,Semi-rectangular Shaped,5.0,2010.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,420000000,1K,420,Semi-shaped,21.0,1987.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,110000000,1K,90,Semi-rectangular Shaped,6.5,2017.0,W,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,200000000,1K,95,Trapezoidal Shaped,10.0,1986.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,47000000,1K,55,Semi-square Shaped,7.7,1996.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,60000000,1K,50,Trapezoidal Shaped,5.4,2016.0,W,House,South,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,560000000,1K,330,Rectangular Shaped,13.0,1979.0,RC,Warehouse,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,33000000,1K,55,Rectangular Shaped,5.6,1988.0,W,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,160000000,1K,210,Semi-square Shaped,13.8,1997.0,RC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,150000000,1K,115,Semi-rectangular Shaped,12.8,2016.0,W,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,43000000,1K,50,Semi-rectangular Shaped,4.4,1998.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,130000000,1K,90,Semi-rectangular Shaped,7.0,2001.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,49000000,1K,90,Flag-shaped etc.,3.1,1996.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,240000000,1K,470,Irregular Shaped,19.8,1970.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,8000000,1K,40,Irregular Shaped,12.0,1984.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,48000000,1K,90,Irregular Shaped,2.0,2015.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,280000000,1K,105,Rectangular Shaped,8.0,1989.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,480000000,1K,370,Irregular Shaped,13.0,1970.0,SRC,Shop,Northeast,Not yet
